candidate,vertex,w_R,w_P,w_U,acceptability
30,3,0.106556359945,0.867144618604,0.0262990214509,0.00110246496573
31,0,0.211675758347,0.788324241653,0,0.00194313801335
31,1,0.182173054953,0.817826945047,0,0.00194313801335
31,2,0.106556359945,0.867144618604,0.0262990214509,0.00194313801335
31,3,0.0989855819547,0.861717321477,0.0392970965683,0.00194313801335
32,0,0.218765021517,0.781234978483,1.11022302463e-16,0.00281629819893
32,1,0.211675758347,0.788324241653,0,0.00281629819893
32,2,0.0989855819547,0.861717321477,0.0392970965683,0.00281629819893
32,3,0.0904767956445,0.855789261014,0.0537339433417,0.00281629819893
32,4,0.219379782369,0.771972623238,0.00864759439232,0.00281629819893
32,5,0.219159571768,0.775983162642,0.00485726558949,0.00281629819893
33,0,0.219379782369,0.771972623238,0.00864759439232,0.00339453780376
33,1,0.0904767956445,0.855789261014,0.0537339433417,0.00339453780376
33,2,0.0808779019642,0.849282000433,0.0698400976027,0.00339453780376
33,3,0.219956037895,0.75901582347,0.0210281386351,0.00339453780376
33,4,0.219854326947,0.762815539135,0.0173301339179,0.00339453780376
33,5,0.219539124205,0.769577576048,0.0108832997472,0.00339453780376
34,0,0.219956037895,0.75901582347,0.0210281386351,0.00409057712934
34,1,0.0808779019642,0.849282000433,0.0698400976027,0.00409057712934
34,2,0.0706022376133,0.842495405189,0.0869023571973,0.00409057712934
34,3,0.0700036221768,0.842098423021,0.087897954802,0.00409057712934
34,4,0.220222738547,0.74480696221,0.0349702992427,0.00409057712934
34,5,0.220225035154,0.748112759324,0.0316622055224,0.00409057712934
34,6,0.220083738392,0.75567270743,0.0242435541775,0.00409057712934
35,0,0.220222738547,0.74480696221,0.0349702992427,0.00496287492982
35,1,0.0700036221768,0.842098423021,0.087897954802,0.00496287492982
35,2,0.0576461455779,0.834103807882,0.10825004654,0.00496287492982
35,3,0.220132393298,0.729122107356,0.0507454993456,0.00496287492982
35,4,0.220199753288,0.731585480129,0.0482147665831,0.00496287492982
35,5,0.220272195364,0.740096182778,0.0396316218576,0.00496287492982
36,0,0.220132393298,0.729122107356,0.0507454993456,0.0060697124208
36,1,0.0576461455779,0.834103807882,0.10825004654,0.0060697124208
36,2,0.0434945319643,0.82516130771,0.131344160326,0.0060697124208
36,3,0.219624662625,0.711681963583,0.0686933737921,0.0060697124208
36,4,0.219687243413,0.712861817673,0.0674509389139,0.0060697124208
36,5,0.220023900455,0.722520577783,0.0574555217618,0.0060697124208
37,0,0.219624662625,0.711681963583,0.0686933737921,0.00749428931565
37,1,0.0434945319643,0.82516130771,0.131344160326,0.00749428931565
37,2,0.0271800152704,0.815079023324,0.157740961405,0.00749428931565
37,3,0.218610782641,0.692140677647,0.0892485397115,0.00749428931565
37,4,0.219235703941,0.702521847663,0.0782424483957,0.00749428931565
38,0,0.218610782641,0.692140677647,0.0892485397115,0.00935713817757
38,1,0.0271800152704,0.815079023324,0.157740961405,0.00935713817757
38,2,0.00822575530451,0.803608675866,0.188165568829,0.00935713817757
38,3,0.216972435537,0.670056158249,0.112971406214,0.00935713817757
38,4,0.217772934904,0.679541375963,0.102685689134,0.00935713817757
38,5,0.218576322416,0.691453776604,0.0899699009794,0.00935713817757
39,0,0.216972435537,0.670056158249,0.112971406214,0.0115965043697
39,1,0.0082257553045,0.803608675866,0.188165568829,0.0115965043697
39,2,0,0.798727872709,0.201272127291,0.0115965043697
39,3,0,0.781508740023,0.218491259977,0.0115965043697
39,4,0.214596892114,0.644823349058,0.140579758828,0.0115965043697
39,5,0.215455845827,0.652828560417,0.131715593756,0.0115965043697
39,6,0.216722394207,0.666712183937,0.116565421856,0.0115965043697
40,0,0.214596892114,0.644823349058,0.140579758828,0.0134707927899
40,1,0,0.781508740023,0.218491259977,0.0134707927899
40,2,0,0.749532330943,0.250467669057,0.0134707927899
40,3,0.211304882382,0.615654200508,0.173040917109,0.0134707927899
40,4,0.212038465834,0.621351207309,0.166610326856,0.0134707927899
40,5,0.213904131476,0.637764188519,0.148331680006,0.0134707927899
41,0,0.211304882382,0.615654200508,0.173040917109,0.0156492433679
41,1,0,0.749532330943,0.250467669057,0.0156492433679
41,2,0,0.711699258729,0.288300741271,0.0156492433679
41,3,0.206850960508,0.581474800185,0.211674239306,0.0156492433679
41,4,0.207174385388,0.583650511291,0.209175103321,0.0156492433679
41,5,0.209831523726,0.603387387572,0.186781088702,0.0156492433679
42,0,0.206850960508,0.581474800185,0.211674239306,0.0183225785344
42,1,0,0.711699258729,0.288300741271,0.0183225785344
42,2,0,0.666275264788,0.333724735212,0.0183225785344
42,3,0.200853125081,0.5408057896,0.258341085319,0.0183225785344
42,4,0.204089513364,0.561827054149,0.234083432488,0.0183225785344
43,0,0.200853125081,0.5408057896,0.258341085319,0.0216282349964
43,1,0,0.666275264788,0.333724735212,0.0216282349964
43,2,0,0.610765290203,0.389234709797,0.0216282349964
43,3,0.192804483679,0.491481814216,0.315713702105,0.0216282349964
43,4,0.19606169727,0.510471830101,0.293466472629,0.0216282349964
43,5,0.200382025004,0.537590665851,0.262027309145,0.0216282349964
44,0,0.192804483679,0.491481814216,0.315713702105,0.0257291366811
44,1,0,0.610765290203,0.389234709797,0.0257291366811
44,2,0,0.541444933132,0.458555066868,0.0257291366811
44,3,0.181977997475,0.430234704127,0.387787298398,0.0257291366811
44,4,0.184790497767,0.445259338531,0.369950163702,0.0257291366811
44,5,0.190902676562,0.47993558881,0.329161734628,0.0257291366811
45,0,0.181977997475,0.430234704127,0.387787298398,0.0307791788462
45,1,0,0.541444933132,0.458555066868,0.0307791788462
45,2,0,0.452496998148,0.547503001852,0.0307791788462
45,3,0.16718590765,0.351957952163,0.480856140187,0.0307791788462
45,4,0.168702130305,0.359507025521,0.471790844174,0.0307791788462
45,5,0.177503805556,0.405521431199,0.416974763245,0.0307791788462
46,0,0.16718590765,0.351957952163,0.480856140187,0.0367687730737
46,1,0,0.452496998148,0.547503001852,0.0367687730737
46,2,0,0.334301353952,0.665698646048,0.0367687730737
46,3,0.146398592673,0.248171682974,0.605429724353,0.0367687730737
46,4,0.158118912331,0.305555216219,0.53632587145,0.0367687730737
47,0,0.146398592673,0.248171682974,0.605429724353,0.0429190642334
47,1,0,0.334301353952,0.665698646048,0.0429190642334
47,2,0,0.169720233085,0.830279766915,0.0429190642334
47,3,0.115986361121,0.103598035367,0.780415603512,0.0429190642334
47,4,0.128926306327,0.163768584153,0.70730510952,0.0429190642334
47,5,0.145046342753,0.241394977538,0.613558679709,0.0429190642334
48,0,0,0,1,0.0290234726097
48,1,0.074742553205,0,0.925257446795,0.0290234726097
48,2,0.0980559895145,0.0201602085764,0.881783801909,0.0290234726097
48,3,0.108445416045,0.0678756114774,0.823678972477,0.0290234726097
