design,radius_percent,response,baseline,worst,degradation_percent,worst_beta,worst_eta
Q3 nominal,1,R,0.734329091746,0.735503681207,0.159954096107,0.222693405027,4.45500000001
Q3 nominal,1,P,0.0979990791612,0.0993455974093,1.37401112303,0.227192261684,4.455
Q3 nominal,1,U,0.790190418048,0.79123243287,0.131868825311,0.227192261679,4.45500000002
Q3 nominal,3,R,0.734329091746,0.737415098995,0.420248534852,0.21819454835,4.36500000001
Q3 nominal,3,P,0.0979990791612,0.102097585777,4.18218890535,0.231691118351,4.365
Q3 nominal,3,U,0.790190418048,0.792764233585,0.325720924754,0.231691118348,4.36500000004
Q3 nominal,5,R,0.734329091746,0.738796460062,0.608360524798,0.213695691687,4.2750000001
Q3 nominal,5,P,0.0979990791612,0.104952701685,7.09559986021,0.236189975018,4.275
Q3 nominal,5,U,0.790190418048,0.793668500895,0.440157557887,0.236189975018,4.27500000001
Q4 preference-robust,1,R,0.741113647132,0.742220942927,0.149409715971,0.22176000001,4.45500000001
Q4 preference-robust,1,P,0.085117350974,0.086207441458,1.28069127089,0.22624,4.455
Q4 preference-robust,1,U,0.77178301756,0.773136096109,0.175318518071,0.221760000088,4.455
Q4 preference-robust,3,R,0.741113647132,0.743974975094,0.386084910668,0.21728000001,4.36500000001
Q4 preference-robust,3,P,0.085117350974,0.0884349976266,3.89773250061,0.23072,4.365
Q4 preference-robust,3,U,0.77178301756,0.775208745731,0.443871929383,0.230719999991,4.36500000001
Q4 preference-robust,5,R,0.741113647132,0.745168583501,0.547140966137,0.212800000001,4.27500000005
Q4 preference-robust,5,P,0.085117350974,0.0907502084027,6.61775462258,0.2352,4.275
Q4 preference-robust,5,U,0.77178301756,0.776624426417,0.627301812328,0.2352,4.27500000007
