beta,eta,N,R,P,U
0.213,3.54,4,0.7389884033,0.1063405777,0.7728463649
0.214,3.54,4,0.7389389825,0.1064256896,0.7727367197
0.215,3.54,4,0.7388919088,0.1065132263,0.7726328402
0.216,3.54,4,0.7388472191,0.1066032252,0.7725348313
0.217,3.54,4,0.7388049501,0.1066957238,0.7724427981
0.218,3.54,4,0.7387651388,0.1067907595,0.7723568457
0.219,3.54,4,0.738727822,0.1068883697,0.772277079
0.22,3.54,4,0.7386930364,0.1069885918,0.7722036032
0.221,3.54,4,0.738660819,0.1070914634,0.7721365232
0.222,3.54,4,0.7386312066,0.1071970218,0.7720759441
0.223,3.54,4,0.738604236,0.1073053045,0.7720219709
0.224,3.54,4,0.7385799441,0.1074163488,0.7719747088
0.225,3.54,4,0.7385583677,0.1075301923,0.7719342626
0.226,3.54,4,0.7385395436,0.1076468724,0.7719007374
0.227,3.54,4,0.7385235086,0.1077664264,0.7718742384
0.228,3.54,4,0.7385102997,0.1078888919,0.7718548705
0.229,3.54,4,0.7384999536,0.1080143062,0.7718427388
0.23,3.54,4,0.7384925072,0.1081427068,0.7718379482
0.231,3.54,4,0.7384879973,0.1082741312,0.771840604
0.232,3.54,4,0.7384864608,0.1084086167,0.771850811
0.211,3.55,4,0.7392651233,0.105845642,0.7730481939
0.212,3.55,4,0.7392114233,0.1059260283,0.7729289169
0.213,3.55,4,0.7391600005,0.1060087635,0.7728152088
0.214,3.55,4,0.7391108917,0.1060938852,0.7727071746
0.215,3.55,4,0.7390641337,0.1061814307,0.7726049194
0.216,3.55,4,0.7390197635,0.1062714374,0.7725085482
0.217,3.55,4,0.7389778177,0.1063639429,0.772418166
0.218,3.55,4,0.7389383333,0.1064589846,0.7723338779
0.219,3.55,4,0.7389013471,0.1065565998,0.7722557889
0.22,3.55,4,0.7388668959,0.106656826,0.7721840041
0.221,3.55,4,0.7388350165,0.1067597007,0.7721186285
0.222,3.55,4,0.7388057459,0.1068652613,0.772059767
0.223,3.55,4,0.7387791208,0.1069735452,0.7720075249
0.224,3.55,4,0.7387551781,0.1070845898,0.7719620071
0.225,3.55,4,0.7387339547,0.1071984326,0.7719233186
0.226,3.55,4,0.7387154872,0.1073151111,0.7718915645
0.227,3.55,4,0.7386998127,0.1074346625,0.7718668499
0.228,3.55,4,0.7386869679,0.1075571245,0.7718492797
0.229,3.55,4,0.7386769896,0.1076825344,0.771838959
0.23,3.55,4,0.7386699148,0.1078109296,0.7718359929
0.231,3.55,4,0.7386657802,0.1079423476,0.7718404863
0.21,3.56,4,0.7394914512,0.1054389374,0.7731445304
0.211,3.56,4,0.7394358069,0.1055170243,0.7730213316
0.212,3.56,4,0.7393824066,0.1055974217,0.77290361
0.213,3.56,4,0.7393312873,0.1056801672,0.7727914705
0.214,3.56,4,0.7392824856,0.1057652981,0.7726850184
0.215,3.56,4,0.7392360385,0.105852852,0.7725843585
0.216,3.56,4,0.7391919828,0.1059428661,0.772489596
0.217,3.56,4,0.7391503554,0.1060353781,0.7724008358
0.218,3.56,4,0.739111193,0.1061304252,0.7723181831
0.219,3.56,4,0.7390745326,0.106228045,0.7722417428
0.22,3.56,4,0.7390404109,0.1063282748,0.77217162
0.221,3.56,4,0.7390088648,0.1064311521,0.7721079197
0.222,3.56,4,0.7389799311,0.1065367144,0.772050747
0.223,3.56,4,0.7389536467,0.1066449991,0.772000207
0.224,3.56,4,0.7389300484,0.1067560435,0.7719564045
0.225,3.56,4,0.738909173,0.1068698852,0.7719194448
0.226,3.56,4,0.7388910574,0.1069865615,0.7718894328
0.227,3.56,4,0.7388757384,0.1071061099,0.7718664735
0.228,3.56,4,0.7388632529,0.1072285679,0.7718506721
0.229,3.56,4,0.7388536376,0.1073539728,0.7718421335
0.23,3.56,4,0.7388469295,0.1074823621,0.7718409628
0.231,3.56,4,0.7388431653,0.1076137733,0.771847265
0.21,3.57,4,0.7396614545,0.1051134912,0.7731234115
0.211,3.57,4,0.7396061013,0.1051915897,0.7730017257
0.212,3.57,4,0.7395529959,0.1052719978,0.7728855304
0.213,3.57,4,0.7395021751,0.1053547531,0.7727749307
0.214,3.57,4,0.7394536758,0.1054398928,0.7726700316
0.215,3.57,4,0.7394075347,0.1055274545,0.7725709381
0.216,3.57,4,0.7393637888,0.1056174756,0.7724777553
0.217,3.57,4,0.7393224749,0.1057099935,0.7723905882
0.218,3.57,4,0.7392836297,0.1058050457,0.7723095418
0.219,3.57,4,0.7392472902,0.1059026695,0.7722347213
0.22,3.57,4,0.7392134931,0.1060029025,0.7721662315
0.221,3.57,4,0.7391822754,0.106105782,0.7721041777
0.222,3.57,4,0.7391536738,0.1062113455,0.7720486647
0.223,3.57,4,0.7391277252,0.1063196304,0.7719997977
0.224,3.57,4,0.7391044665,0.1064306741,0.7719576817
0.225,3.57,4,0.7390839343,0.1065445142,0.7719224217
0.226,3.57,4,0.7390661657,0.106661188,0.7718941228
0.227,3.57,4,0.7390511974,0.1067807329,0.77187289
0.228,3.57,4,0.7390390663,0.1069031864,0.7718588283
0.229,3.57,4,0.7390298092,0.1070285859,0.7718520429
0.23,3.57,4,0.739023463,0.1071569688,0.7718526386
0.21,3.58,4,0.739830985,0.1047911929,0.7731093586
0.211,3.58,4,0.7397759181,0.1048693025,0.7729891568
0.212,3.58,4,0.7397231027,0.1049497209,0.7728744589
0.213,3.58,4,0.7396725757,0.1050324855,0.7727653699
0.214,3.58,4,0.7396243738,0.1051176335,0.7726619949
0.215,3.58,4,0.739578534,0.1052052026,0.7725644388
0.216,3.58,4,0.739535093,0.1052952302,0.7724728067
0.217,3.58,4,0.7394940877,0.1053877536,0.7723872037
0.218,3.58,4,0.7394555549,0.1054828103,0.7723077347
0.219,3.58,4,0.7394195314,0.1055804377,0.7722345049
0.22,3.58,4,0.7393860542,0.1056806733,0.7721676193
0.221,3.58,4,0.73935516,0.1057835545,0.7721071829
0.222,3.58,4,0.7393268857,0.1058891188,0.7720533007
0.223,3.58,4,0.739301268,0.1059974035,0.7720060778
0.224,3.58,4,0.739278344,0.1061084461,0.7719656193
0.225,3.58,4,0.7392581503,0.1062222841,0.7719320301
0.226,3.58,4,0.7392407238,0.1063389548,0.7719054153
0.227,3.58,4,0.7392261013,0.1064584957,0.7718858799
0.228,3.58,4,0.7392143198,0.1065809443,0.7718735291
0.229,3.58,4,0.739205416,0.1067063379,0.7718684677
0.23,3.58,4,0.7391994268,0.106834714,0.7718708009
0.21,3.59,4,0.7399999544,0.1044720068,0.7731021522
0.211,3.59,4,0.7399451689,0.1045501272,0.7729834056
0.212,3.59,4,0.7398926388,0.1046305553,0.7728701761
0.213,3.59,4,0.7398424006,0.1047133286,0.7727625688
0.214,3.59,4,0.7397944914,0.1047984846,0.7726606889
0.215,3.59,4,0.7397489479,0.1048860606,0.7725646412
0.216,3.59,4,0.739705807,0.1049760941,0.7724745309
0.217,3.59,4,0.7396651054,0.1050686225,0.772390463
0.218,3.59,4,0.7396268802,0.1051636833,0.7723125425
0.219,3.59,4,0.739591168,0.1052613139,0.7722408745
0.22,3.59,4,0.7395580057,0.1053615516,0.772175564
0.221,3.59,4,0.7395274301,0.1054644341,0.772116716
0.222,3.59,4,0.7394994782,0.1055699986,0.7720644356
0.223,3.59,4,0.7394741867,0.1056782826,0.7720188279
0.224,3.59,4,0.7394515925,0.1057893236,0.7719799978
0.225,3.59,4,0.7394317323,0.105903159,0.7719480504
0.226,3.59,4,0.7394146431,0.1060198262,0.7719230908
0.227,3.59,4,0.7394003617,0.1061393627,0.7719052239
0.228,3.59,4,0.7393889249,0.1062618058,0.7718945549
0.229,3.59,4,0.7393803696,0.1063871931,0.7718911887
0.21,3.6,4,0.7401682742,0.1041558972,0.7731015731
0.211,3.6,4,0.7401137654,0.1042340278,0.7729842525
0.212,3.6,4,0.7400615156,0.1043144653,0.7728724625
0.213,3.6,4,0.7400115615,0.1043972469,0.772766308
0.214,3.6,4,0.73996394,0.1044824103,0.7726658942
0.215,3.6,4,0.739918688,0.1045699927,0.772571326
0.216,3.6,4,0.7398758423,0.1046600317,0.7724827085
0.217,3.6,4,0.7398354398,0.1047525647,0.7724001467
0.218,3.6,4,0.7397975171,0.1048476291,0.7723237457
0.219,3.6,4,0.7397621113,0.1049452623,0.7722536105
0.22,3.6,4,0.7397292592,0.1050455018,0.7721898461
0.221,3.6,4,0.7396989975,0.105148385,0.7721325576
0.222,3.6,4,0.7396713631,0.1052539493,0.7720818501
0.223,3.6,4,0.7396463929,0.1053622322,0.7720378285
0.224,3.6,4,0.7396241236,0.1054732711,0.7720005979
0.225,3.6,4,0.7396045922,0.1055871034,0.7719702634
0.226,3.6,4,0.7395878355,0.1057037667,0.7719469299
0.227,3.6,4,0.7395738902,0.1058232982,0.7719307026
0.228,3.6,4,0.7395627933,0.1059457354,0.7719216864
0.229,3.6,4,0.7395545816,0.1060711159,0.7719199864
0.21,3.61,4,0.7403358562,0.1038428285,0.7731074018
0.211,3.61,4,0.7402816191,0.1039209689,0.7729914784
0.212,3.61,4,0.7402296448,0.1040014151,0.7728810988
0.213,3.61,4,0.7401799699,0.1040842047,0.7727763682
0.214,3.61,4,0.7401326314,0.1041693749,0.7726773915
0.215,3.61,4,0.740087666,0.1042569634,0.7725842738
0.216,3.61,4,0.7400451107,0.1043470074,0.7724971201
0.217,3.61,4,0.7400050022,0.1044395444,0.7724160355
0.218,3.61,4,0.7399673774,0.1045346119,0.7723411249
0.219,3.61,4,0.7399322732,0.1046322473,0.7722724936
0.22,3.61,4,0.7398997263,0.104732488,0.7722102464
0.221,3.61,4,0.7398697736,0.1048353715,0.7721544884
0.222,3.61,4,0.7398424519,0.1049409351,0.7721053247
0.223,3.61,4,0.7398177981,0.1050492164,0.7720628603
0.224,3.61,4,0.739795849,0.1051602528,0.7720272003
0.225,3.61,4,0.7397766415,0.1052740816,0.7719984496
0.226,3.61,4,0.7397602123,0.1053907404,0.7719767134
0.227,3.61,4,0.7397465984,0.1055102665,0.7719620966
0.228,3.61,4,0.7397358365,0.1056326974,0.7719547043
0.21,3.62,4,0.7405026118,0.1035327649,0.773119419
0.211,3.62,4,0.7404486417,0.1036109146,0.7730048638
0.212,3.62,4,0.740396938,0.1036913692,0.7728958657
0.213,3.62,4,0.7403475375,0.1037741661,0.7727925299
0.214,3.62,4,0.740300477,0.1038593428,0.7726949614
0.215,3.62,4,0.7402557935,0.1039469368,0.7726032652
0.216,3.62,4,0.7402135237,0.1040369853,0.7725175463
0.217,3.62,4,0.7401737045,0.104129526,0.7724379099
0.218,3.62,4,0.7401363727,0.1042245961,0.7723644609
0.219,3.62,4,0.7401015651,0.1043222332,0.7722973044
0.22,3.62,4,0.7400693186,0.1044224747,0.7722365454
0.221,3.62,4,0.74003967,0.1045253579,0.772182289
0.222,3.62,4,0.7400126562,0.1046309205,0.7721346402
0.223,3.62,4,0.739988314,0.1047391997,0.772093704
0.224,3.62,4,0.7399666803,0.104850233,0.7720595855
0.225,3.62,4,0.7399477918,0.1049640578,0.7720323897
0.226,3.62,4,0.7399316854,0.1050807116,0.7720122217
0.227,3.62,4,0.7399183979,0.1052002318,0.7719991865
0.228,3.62,4,0.7399079662,0.1053226559,0.7719933891
0.21,3.63,4,0.7406684527,0.1032256708,0.7731374054
0.211,3.63,4,0.7406147447,0.1033038293,0.7730241893
0.212,3.63,4,0.7405633068,0.1033842917,0.7729165437
0.213,3.63,4,0.7405141758,0.1034670956,0.7728145738
0.214,3.63,4,0.7404673886,0.1035522783,0.7727183844
0.215,3.63,4,0.740422982,0.1036398772,0.7726280808
0.216,3.63,4,0.7403809929,0.1037299299,0.7725437678
0.217,3.63,4,0.7403414581,0.1038224736,0.7724655506
0.218,3.63,4,0.7403044144,0.103917546,0.7723935342
0.219,3.63,4,0.7402698987,0.1040151843,0.7723278236
0.22,3.63,4,0.7402379478,0.104115426,0.7722685238
0.221,3.63,4,0.7402085985,0.1042183086,0.77221574
0.222,3.63,4,0.7401818877,0.1043238695,0.7721695771
0.223,3.63,4,0.7401578523,0.1044321462,0.7721301401
0.224,3.63,4,0.7401365289,0.104543176,0.7720975342
0.225,3.63,4,0.7401179546,0.1046569963,0.7720718644
0.226,3.63,4,0.7401021661,0.1047736448,0.7720532356
0.227,3.63,4,0.7400892003,0.1048931586,0.772041753
0.21,3.64,4,0.7408332906,0.1029215104,0.7731611414
0.211,3.64,4,0.7407798398,0.1029996773,0.7730492355
0.212,3.64,4,0.7407286628,0.1030801471,0.7729429135
0.213,3.64,4,0.7406797965,0.1031629574,0.7728422805
0.214,3.64,4,0.7406332777,0.1032481456,0.7727474414
0.215,3.64,4,0.7405891432,0.1033357491,0.7726585013
0.216,3.64,4,0.74054743,0.1034258053,0.7725755652
0.217,3.64,4,0.7405081747,0.1035183518,0.7724987383
0.218,3.64,4,0.7404714143,0.1036134258,0.7724281254
0.219,3.64,4,0.7404371856,0.1037110649,0.7723638317
0.22,3.64,4,0.7404055254,0.1038113064,0.7723059622
0.221,3.64,4,0.7403764706,0.1039141879,0.772254622
0.222,3.64,4,0.740350058,0.1040197467,0.772209916
0.223,3.64,4,0.7403263244,0.1041280203,0.7721719494
0.224,3.64,4,0.7403053067,0.1042390461,0.7721408271
0.225,3.64,4,0.7402870417,0.1043528615,0.7721166542
0.226,3.64,4,0.7402715663,0.1044695041,0.7720995357
0.227,3.64,4,0.7402589172,0.1045890111,0.7720895767
0.21,3.65,4,0.7409970369,0.1026202481,0.7731904078
0.211,3.65,4,0.7409438385,0.1026984228,0.7730797831
0.212,3.65,4,0.7408929176,0.1027788996,0.7729747557
0.213,3.65,4,0.7408443111,0.1028617159,0.7728754306
0.214,3.65,4,0.7407980559,0.1029469091,0.7727819128
0.215,3.65,4,0.7407541887,0.1030345167,0.7726943073
0.216,3.65,4,0.7407127464,0.103124576,0.7726127191
0.217,3.65,4,0.7406737659,0.1032171246,0.7725372534
0.218,3.65,4,0.7406372839,0.1033121999,0.7724680152
0.219,3.65,4,0.7406033374,0.1034098393,0.7724051095
0.22,3.65,4,0.7405719631,0.1035100801,0.7723486413
0.221,3.65,4,0.7405431978,0.10361296,0.7722987156
0.222,3.65,4,0.7405170785,0.1037185162,0.7722554376
0.223,3.65,4,0.740493642,0.1038267863,0.7722189123
0.224,3.65,4,0.7404729251,0.1039378077,0.7721892446
0.225,3.65,4,0.7404549646,0.1040516177,0.7721665397
0.226,3.65,4,0.7404397974,0.1041682539,0.7721509026
0.212,3.66,4,0.7410559829,0.1024805135,0.773011851
0.213,3.66,4,0.7410076314,0.1025633353,0.7729138048
0.214,3.66,4,0.7409616348,0.1026485331,0.7728215792
0.215,3.66,4,0.7409180301,0.1027361442,0.7727352793
0.216,3.66,4,0.7408768539,0.1028262063,0.7726550102
0.217,3.66,4,0.7408381432,0.1029187566,0.7725808768
0.218,3.66,4,0.7408019349,0.1030138326,0.7725129842
0.219,3.66,4,0.7407682656,0.1031114717,0.7724514374
0.22,3.66,4,0.7407371724,0.1032117115,0.7723963416
0.221,3.66,4,0.7407086919,0.1033145893,0.7723478016
0.222,3.66,4,0.7406828611,0.1034201425,0.7723059226
0.223,3.66,4,0.7406597168,0.1035284086,0.7722708096
0.224,3.66,4,0.7406392958,0.103639425,0.7722425676
0.225,3.66,4,0.7406216349,0.1037532291,0.7722213017
0.226,3.66,4,0.7406067711,0.1038698585,0.7722071169
0.215,3.67,4,0.7410805789,0.1024405961,0.7727811982
0.216,3.67,4,0.7410396641,0.1025306603,0.772702219
0.217,3.67,4,0.7410012184,0.1026232118,0.7726293889
0.218,3.67,4,0.7409652788,0.1027182882,0.772562813
0.219,3.67,4,0.740931882,0.1028159267,0.7725025963
0.22,3.67,4,0.7409010649,0.1029161648,0.7724488437
0.221,3.67,4,0.7408728644,0.10301904,0.7724016604
0.222,3.67,4,0.7408473172,0.1031245897,0.7723611514
0.223,3.67,4,0.7408244602,0.1032328513,0.7723274218
0.224,3.67,4,0.7408043303,0.1033438623,0.7723005765
0.225,3.67,4,0.7407869642,0.1034576601,0.7722807206
0.226,3.67,4,0.7407723989,0.1035742822,0.7722679592
0.22,3.68,4,0.7410635523,0.1026234043,0.7725059284
0.221,3.68,4,0.7410356268,0.1027262765,0.7724600728
0.222,3.68,4,0.7410103585,0.1028318222,0.7724209048
0.223,3.68,4,0.740987784,0.1029400789,0.7723885296
0.224,3.68,4,0.7409679403,0.1030510841,0.772363052
0.225,3.68,4,0.7409508642,0.103164875,0.7723445772
0.145,4.5,4,0.748570703,0.08178141895,0.7890397976
0.146,4.5,4,0.7484316549,0.08179443205,0.788719979
0.147,4.5,4,0.7482928064,0.08180723345,0.7884000639
0.148,4.5,4,0.7481541941,0.08181986057,0.7880801572
0.149,4.5,4,0.7480158551,0.08183235084,0.7877603641
0.15,4.5,4,0.7478778261,0.0818447417,0.7874407895
0.151,4.5,4,0.747740144,0.08185707058,0.7871215385
0.152,4.5,4,0.7476028455,0.08186937492,0.7868027161
0.153,4.5,4,0.7474659676,0.08188169214,0.7864844274
0.154,4.5,4,0.7473295471,0.08189405968,0.7861667774
0.155,4.5,4,0.7471936208,0.08190651498,0.7858498712
0.156,4.5,4,0.7470582255,0.08191909547,0.7855338137
0.157,4.5,4,0.7469233981,0.08193183857,0.7852187101
0.158,4.5,4,0.7467891754,0.08194478173,0.7849046654
0.159,4.5,4,0.7466555943,0.08195796238,0.7845917846
0.16,4.5,4,0.7465226915,0.08197141795,0.7842801727
0.161,4.5,4,0.746390504,0.08198518587,0.7839699348
0.162,4.5,4,0.7462590686,0.08199930357,0.7836611759
0.163,4.5,4,0.7461284221,0.0820138085,0.7833540011
0.164,4.5,4,0.7459986013,0.08202873807,0.7830485154
0.165,4.5,4,0.7458696431,0.08204412974,0.7827448239
0.166,4.5,4,0.7457415843,0.08206002092,0.7824430315
0.167,4.5,4,0.7456144618,0.08207644906,0.7821432433
0.168,4.5,4,0.7454883124,0.08209345158,0.7818455644
0.169,4.5,4,0.7453631729,0.08211106592,0.7815500999
0.17,4.5,4,0.7452390801,0.08212932951,0.7812569546
0.171,4.5,4,0.745116071,0.08214827979,0.7809662337
0.172,4.5,4,0.7449941823,0.08216795418,0.7806780423
0.173,4.5,4,0.7448734509,0.08218839013,0.7803924853
0.174,4.5,4,0.7447539136,0.08220962506,0.7801096678
0.175,4.5,4,0.7446356072,0.08223169641,0.7798296948
0.176,4.5,4,0.7445185686,0.08225464161,0.7795526714
0.177,4.5,4,0.7444028347,0.0822784981,0.7792787027
0.178,4.5,4,0.7442884422,0.0823033033,0.7790078936
0.179,4.5,4,0.7441754281,0.08232909466,0.7787403491
0.18,4.5,4,0.744063829,0.08235590959,0.7784761744
0.181,4.5,4,0.743953682,0.08238378555,0.7782154745
0.182,4.5,4,0.7438450237,0.08241275995,0.7779583544
0.183,4.5,4,0.7437378911,0.08244287024,0.7777049191
0.184,4.5,4,0.743632321,0.08247415385,0.7774552738
0.185,4.5,4,0.7435283502,0.0825066482,0.7772095233
0.186,4.5,4,0.7434260156,0.08254039074,0.7769677728
0.187,4.5,4,0.743325354,0.0825754189,0.7767301274
0.188,4.5,4,0.7432264022,0.0826117701,0.7764966919
0.189,4.5,4,0.7431291971,0.08264948179,0.7762675716
0.19,4.5,4,0.7430337755,0.08268859139,0.7760428714
0.191,4.5,4,0.7429401742,0.08272913635,0.7758226963
0.192,4.5,4,0.7428484301,0.08277115408,0.7756071515
0.193,4.5,4,0.7427585801,0.08281468203,0.7753963419
0.194,4.5,4,0.7426706609,0.08285975763,0.7751903725
0.195,4.5,4,0.7425847094,0.08290641831,0.7749893485
0.196,4.5,4,0.7425007624,0.08295470151,0.7747933749
0.197,4.5,4,0.7424188569,0.08300464466,0.7746025566
0.198,4.5,4,0.7423390295,0.08305628518,0.7744169988
0.199,4.5,4,0.7422613171,0.08310966052,0.7742368065
0.2,4.5,4,0.7421857567,0.08316480811,0.7740620846
0.201,4.5,4,0.7421123849,0.08322176538,0.7738929384
0.202,4.5,4,0.7420412388,0.08328056977,0.7737294727
0.203,4.5,4,0.741972355,0.0833412587,0.7735717927
0.204,4.5,4,0.7419057704,0.08340386961,0.7734200033
0.205,4.5,4,0.7418415219,0.08346843994,0.7732742096
0.206,4.5,4,0.7417796464,0.08353500712,0.7731345167
0.207,4.5,4,0.7417201805,0.08360360857,0.7730010296
0.208,4.5,4,0.7416631613,0.08367428174,0.7728738533
0.209,4.5,4,0.7416086254,0.08374706406,0.7727530929
0.21,4.5,4,0.7415566098,0.08382199295,0.7726388534
0.211,4.5,4,0.7415071513,0.08389910586,0.7725312398
0.212,4.5,4,0.7414602868,0.08397844021,0.7724303573
0.213,4.5,4,0.741416053,0.08406003345,0.7723363107
0.214,4.5,4,0.7413744868,0.084143923,0.7722492052
0.215,4.5,4,0.741335625,0.08423014629,0.7721691458
0.216,4.5,4,0.7412995045,0.08431874076,0.7720962376
0.217,4.5,4,0.7412661622,0.08440974385,0.7720305856
0.218,4.5,4,0.7412356347,0.08450319298,0.7719722947
0.219,4.5,4,0.7412079591,0.08459912558,0.7719214701
0.22,4.5,4,0.7411831721,0.08469757911,0.7718782169
0.221,4.5,4,0.7411613106,0.08479859097,0.7718426399
0.222,4.5,4,0.7411424114,0.08490219862,0.7718148444
0.223,4.5,4,0.7411265113,0.08500843947,0.7717949352
0.224,4.5,4,0.7411136471,0.08511735097,0.7717830176
0.225,4.5,4,0.7411038558,0.08522897055,0.7717791964
0.226,4.5,4,0.7410971742,0.08534333564,0.7717835767
0.227,4.5,4,0.741093639,0.08546048368,0.7717962636
0.228,4.5,4,0.7410932871,0.08558045209,0.7718173622
0.237,3,5,0.7299770165,0.1401632781,0.7921907523
0.238,3,5,0.7299676229,0.1403761689,0.7921058098
0.239,3,5,0.7299613872,0.1405927048,0.7920282853
0.24,3,5,0.7299583463,0.1408129233,0.7919582839
0.241,3,5,0.7299585371,0.1410368617,0.7918959105
0.242,3,5,0.7299619964,0.1412645576,0.7918412703
0.243,3,5,0.7299687609,0.1414960483,0.7917944682
0.244,3,5,0.7299788677,0.1417313712,0.7917556094
0.236,3.01,5,0.7300098437,0.1393922521,0.7916002715
0.237,3.01,5,0.7299978284,0.1396015402,0.7915114419
0.238,3.01,5,0.7299889379,0.1398144351,0.7914299387
0.239,3.01,5,0.7299832092,0.1400309741,0.7913558668
0.24,3.01,5,0.729980679,0.1402511947,0.7912893313
0.241,3.01,5,0.7299813842,0.1404751344,0.7912304372
0.242,3.01,5,0.7299853615,0.1407028305,0.7911792896
0.243,3.01,5,0.7299926479,0.1409343205,0.7911359935
0.244,3.01,5,0.7300032802,0.1411696418,0.7911006539
0.235,3.02,5,0.7300494286,0.1386299307,0.7910290575
0.236,3.02,5,0.7300348163,0.138835655,0.7909363903
0.237,3.02,5,0.7300232956,0.1390449477,0.7908509577
0.238,3.02,5,0.7300149036,0.1392578461,0.7907728647
0.239,3.02,5,0.7300096769,0.1394743878,0.7907022165
0.24,3.02,5,0.7300076525,0.1396946101,0.7906391179
0.241,3.02,5,0.7300088672,0.1399185505,0.7905836741
0.242,3.02,5,0.7300133579,0.1401462464,0.7905359902
0.243,3.02,5,0.7300211613,0.1403777352,0.7904961711
0.244,3.02,5,0.7300323143,0.1406130545,0.7904643218
0.234,3.03,5,0.7300956719,0.1378762394,0.7904769129
0.235,3.03,5,0.730078487,0.1380784388,0.7903804574
0.236,3.03,5,0.7300643607,0.1382841681,0.7902911448
0.237,3.03,5,0.7300533299,0.1384934648,0.7902090802
0.238,3.03,5,0.7300454314,0.1387063664,0.7901343686
0.239,3.03,5,0.730040702,0.1389229102,0.790067115
0.24,3.03,5,0.7300391786,0.1391431338,0.7900074244
0.241,3.03,5,0.730040898,0.1393670744,0.789955402
0.242,3.03,5,0.730045897,0.1395947696,0.7899111527
0.243,3.03,5,0.7300542125,0.1398262569,0.7898747816
0.244,3.03,5,0.7300658814,0.1400615735,0.7898463937
0.233,3.04,5,0.730148474,0.1371311037,0.7899436402
0.234,3.04,5,0.7301287411,0.137329817,0.7898434458
0.235,3.04,5,0.7301120337,0.1375320218,0.7897503027
0.236,3.04,5,0.7300983886,0.1377377557,0.7896643158
0.237,3.04,5,0.7300878428,0.137947056,0.7895855902
0.238,3.04,5,0.7300804329,0.1381599602,0.7895142309
0.239,3.04,5,0.7300761959,0.1383765057,0.7894503429
0.24,3.04,5,0.7300751687,0.13859673,0.7893940314
0.241,3.04,5,0.7300773879,0.1388206705,0.7893454013
0.242,3.04,5,0.7300828905,0.1390483645,0.7893045577
0.243,3.04,5,0.7300917134,0.1392798497,0.7892716057
0.244,3.04,5,0.7301038932,0.1395151633,0.7892466501
0.232,3.05,5,0.7302077353,0.1363944491,0.7894290419
0.233,3.05,5,0.730185479,0.1365897151,0.7893251581
0.234,3.05,5,0.730166215,0.1367884343,0.7892282337
0.235,3.05,5,0.7301499803,0.1369906441,0.7891383739
0.236,3.05,5,0.7301368116,0.1371963821,0.7890556837
0.237,3.05,5,0.7301267459,0.1374056855,0.7889802682
0.238,3.05,5,0.7301198199,0.1376185919,0.7889122322
0.239,3.05,5,0.7301160705,0.1378351386,0.788851681
0.24,3.05,5,0.7301155344,0.1380553631,0.7887987195
0.241,3.05,5,0.7301182487,0.1382793029,0.7887534528
0.242,3.05,5,0.73012425,0.1385069954,0.788715986
0.243,3.05,5,0.7301335753,0.1387384779,0.7886864239
0.244,3.05,5,0.7301462614,0.138973788,0.7886648718
0.232,3.06,5,0.7302486011,0.1358580585,0.7888253967
0.233,3.06,5,0.7302268052,0.1360533309,0.7887247405
0.234,3.06,5,0.7302080053,0.1362520556,0.7886310572
0.235,3.06,5,0.7301922384,0.13645427,0.7885444518
0.236,3.06,5,0.7301795413,0.1366600115,0.7884650293
0.237,3.06,5,0.7301699508,0.1368693176,0.7883928948
0.238,3.06,5,0.7301635038,0.1370822257,0.7883281533
0.239,3.06,5,0.7301602371,0.1372987731,0.7882709098
0.24,3.06,5,0.7301601875,0.1375189975,0.7882212694
0.241,3.06,5,0.7301633919,0.1377429361,0.7881793371
0.242,3.06,5,0.7301698872,0.1379706264,0.788145218
0.243,3.06,5,0.73017971,0.138202106,0.788119017
0.244,3.06,5,0.7301928974,0.138437412,0.7881008394
0.231,3.07,5,0.730318008,0.1351347726,0.7883439641
0.232,3.07,5,0.7302937046,0.1353266372,0.7882396255
0.233,3.07,5,0.7302723642,0.1355219156,0.7881421681
0.234,3.07,5,0.7302540236,0.1357206453,0.7880516969
0.235,3.07,5,0.7302387196,0.1359228637,0.7879683169
0.236,3.07,5,0.7302264892,0.1361286084,0.7878921332
0.237,3.07,5,0.7302173692,0.1363379166,0.7878232507
0.238,3.07,5,0.7302113963,0.1365508259,0.7877617746
0.239,3.07,5,0.7302086075,0.1367673737,0.7877078099
0.24,3.07,5,0.7302090395,0.1369875973,0.7876614616
0.241,3.07,5,0.7302127292,0.1372115343,0.7876228348
0.242,3.07,5,0.7302197135,0.1374392221,0.7875920344
0.243,3.07,5,0.7302300291,0.1376706981,0.7875691656
0.244,3.07,5,0.7302437129,0.1379059997,0.7875543334
0.245,3.07,5,0.7302608018,0.1381451644,0.7875476427
0.23,3.08,5,0.7303936002,0.134419783,0.7878806629
0.231,3.08,5,0.7303668138,0.1346082785,0.7877726913
0.232,3.08,5,0.7303429573,0.1348001494,0.7876715092
0.233,3.08,5,0.7303220676,0.1349954333,0.7875772215
0.234,3.08,5,0.7303041814,0.1351941676,0.7874899334
0.235,3.08,5,0.7302893356,0.1353963897,0.7874097498
0.236,3.08,5,0.7302775671,0.1356021369,0.7873367759
0.237,3.08,5,0.7302689126,0.1358114469,0.7872711166
0.238,3.08,5,0.730263409,0.1360243569,0.7872128769
0.239,3.08,5,0.7302610932,0.1362409044,0.787162162
0.24,3.08,5,0.730262002,0.136461127,0.7871190768
