beta,eta,N,R,P,U
0.237,3.12,4,0.7317452527,0.1264338485,0.7805246462
0.238,3.12,4,0.7317410975,0.1265876056,0.7804750983
0.239,3.12,4,0.7317400173,0.1267447257,0.7804332767
0.24,3.12,4,0.7317420488,0.1269052463,0.7803992865
0.241,3.12,4,0.7317472288,0.1270692048,0.7803732327
0.242,3.12,4,0.7317555942,0.1272366386,0.7803552204
0.243,3.12,4,0.7317671819,0.1274075852,0.7803453545
0.244,3.12,4,0.7317820287,0.127582082,0.7803437403
0.226,3.13,4,0.7320951752,0.1244548885,0.7810465742
0.227,3.13,4,0.7320601915,0.1245741402,0.7809219702
0.228,3.13,4,0.7320278812,0.1246963422,0.7808039505
0.229,3.13,4,0.7319982811,0.124821532,0.7806926201
0.23,3.13,4,0.7319714281,0.1249497469,0.780588084
0.231,3.13,4,0.731947359,0.1250810245,0.7804904473
0.232,3.13,4,0.7319261107,0.1252154021,0.780399815
0.233,3.13,4,0.7319077199,0.1253529172,0.7803162921
0.234,3.13,4,0.7318922236,0.1254936072,0.7802399838
0.235,3.13,4,0.7318796585,0.1256375095,0.7801709949
0.236,3.13,4,0.7318700615,0.1257846617,0.7801094307
0.237,3.13,4,0.7318634695,0.125935101,0.780055396
0.238,3.13,4,0.7318599192,0.126088865,0.780008996
0.239,3.13,4,0.7318594476,0.1262459911,0.7799703357
0.24,3.13,4,0.7318620914,0.1264065167,0.7799395201
0.241,3.13,4,0.7318678874,0.1265704792,0.7799166543
0.242,3.13,4,0.7318768726,0.1267379161,0.7799018433
0.243,3.13,4,0.7318890838,0.1269088648,0.7798951921
0.226,3.14,4,0.7322103232,0.1239607136,0.7805598319
0.227,3.14,4,0.7321758985,0.1240799821,0.7804382001
0.228,3.14,4,0.732144151,0.1242022,0.780323166
0.229,3.14,4,0.7321151175,0.1243274047,0.7802148345
0.23,3.14,4,0.7320888347,0.1244556337,0.7801133107
0.231,3.14,4,0.7320653396,0.1245869243,0.7800186996
0.232,3.14,4,0.732044669,0.124721314,0.7799311062
0.233,3.14,4,0.7320268596,0.1248588402,0.7798506356
0.234,3.14,4,0.7320119484,0.1249995404,0.7797773929
0.235,3.14,4,0.7319999722,0.1251434521,0.779711483
0.236,3.14,4,0.7319909678,0.1252906125,0.7796530111
0.237,3.14,4,0.7319849721,0.1254410592,0.7796020821
0.238,3.14,4,0.7319820219,0.1255948296,0.779558801
0.239,3.14,4,0.731982154,0.1257519611,0.779523273
0.24,3.14,4,0.7319854052,0.1259124912,0.7794956031
0.241,3.14,4,0.7319918125,0.1260764573,0.7794758963
0.242,3.14,4,0.7320014126,0.1262438969,0.7794642576
0.243,3.14,4,0.7320142424,0.1264148473,0.7794607921
0.226,3.15,4,0.7323287218,0.1234712138,0.780089125
0.227,3.15,4,0.7322948514,0.1235904987,0.7799704366
0.228,3.15,4,0.7322636619,0.1237127321,0.7798583591
0.229,3.15,4,0.73223519,0.1238379513,0.7797529975
0.23,3.15,4,0.7322094727,0.1239661937,0.779654457
0.231,3.15,4,0.7321865467,0.1240974969,0.7795628425
0.232,3.15,4,0.7321664489,0.1242318983,0.7794782591
0.233,3.15,4,0.7321492161,0.1243694352,0.7794008119
0.234,3.15,4,0.7321348853,0.1245101451,0.7793306058
0.235,3.15,4,0.7321234931,0.1246540655,0.7792677459
0.236,3.15,4,0.7321150764,0.1248012338,0.7792123373
0.237,3.15,4,0.7321096722,0.1249516874,0.7791644849
0.238,3.15,4,0.7321073171,0.1251054637,0.7791242939
0.239,3.15,4,0.7321080481,0.1252626002,0.7790918692
0.24,3.15,4,0.732111902,0.1254231344,0.779067316
0.241,3.15,4,0.7321189156,0.1255871036,0.7790507392
0.242,3.15,4,0.7321291258,0.1257545453,0.7790422439
0.243,3.15,4,0.7321425694,0.1259254969,0.779041935
0.225,3.16,4,0.7324862515,0.1228699628,0.7797565277
0.226,3.16,4,0.7324502828,0.1229863536,0.7796342343
0.227,3.16,4,0.7324169618,0.1231056544,0.7795184602
0.228,3.16,4,0.7323863254,0.1232279027,0.7794093103
0.229,3.16,4,0.7323584104,0.1233531359,0.7793068898
0.23,3.16,4,0.7323332536,0.1234813914,0.7792113036
0.231,3.16,4,0.7323108919,0.1236127067,0.7791226568
0.232,3.16,4,0.7322913621,0.1237471192,0.7790410544
0.233,3.16,4,0.7322747011,0.1238846663,0.7789666015
0.234,3.16,4,0.7322609456,0.1240253855,0.778899403
0.235,3.16,4,0.7322501326,0.1241693142,0.7788395642
0.236,3.16,4,0.7322422989,0.1243164898,0.7787871899
0.237,3.16,4,0.7322374812,0.1244669498,0.7787423852
0.238,3.16,4,0.7322357165,0.1246207316,0.7787052553
0.239,3.16,4,0.7322370416,0.1247778727,0.778675905
0.24,3.16,4,0.7322414933,0.1249384104,0.7786544394
0.241,3.16,4,0.7322491084,0.1251023822,0.7786409637
0.242,3.16,4,0.7322599238,0.1252698256,0.7786355827
0.225,3.17,4,0.7326103457,0.12238969,0.7793143618
0.226,3.17,4,0.7325749178,0.1225060971,0.7791949404
0.227,3.17,4,0.7325421413,0.1226254134,0.7790820516
0.228,3.17,4,0.7325120532,0.1227476761,0.7789758004
0.229,3.17,4,0.7324846901,0.1228729228,0.7788762919
0.23,3.17,4,0.7324600891,0.1230011909,0.778783631
0.231,3.17,4,0.7324382868,0.1231325179,0.7786979229
0.232,3.17,4,0.7324193202,0.123266941,0.7786192726
