grid,beta_step,eta_step,pareto_count,fref_R,fref_P,fref_U,beta,eta,N,R,P,U,D_inf
main,0.001,0.01,4293,0.760202911278,0.1588292183,0.819279696696,0.224942833351,4.5,6,0.734329091746,0.0979990791612,0.790190418048,0.399631915951
fine,0.0005,0.005,14779,0.76017640071,0.158616176896,0.819279696696,0.224942833351,4.5,6,0.734329091746,0.0979990791612,0.790190418048,0.399631915951
