sample,beta,eta,N,R,P,U,R_pred,R_resid,P_pred,P_resid,U_pred,U_resid,R_cv_pred,R_cv_resid,P_cv_pred,P_cv_resid,U_cv_pred,U_cv_resid
27,0.15,4,8,0.748211,0.104159,0.819572,0.748211192574,-1.92574211799e-07,0.104116721277,4.22787226345e-05,0.81971443202,-0.000142432020409,0.74821118968,-1.89679819296e-07,0.104164534477,-5.53447697922e-06,0.819760512952,-0.000188512952251
28,0.15,4.5,8,0.749042,0.094424,0.825041,0.749042162899,-1.62898887157e-07,0.0944076893423,1.63106576994e-05,0.825096991098,-5.59910983313e-05,0.749042228738,-2.28738291752e-07,0.0944242176911,-2.17691056056e-07,0.825121332215,-8.03322146761e-05
29,0.2,3,8,0.730059,0.148882,0.826101,0.730058619564,3.80435992153e-07,0.148970316866,-8.83168664193e-05,0.826237824015,-0.000136824014843,0.730058465415,5.34584638445e-07,0.148882258666,-2.58665901504e-07,0.826248968782,-0.000147968781536
30,0.2,3.5,8,0.732759,0.126471,0.806372,0.732759010213,-1.02133580482e-08,0.126429769568,4.1230432282e-05,0.806510272028,-0.00013827202783,0.732759018716,-1.87162751963e-08,0.126453795852,1.72041480014e-05,0.806587773692,-0.000215773691809
31,0.2,4,8,0.739034,0.112492,0.813132,0.739034171934,-1.71934137372e-07,0.112509436912,-1.74369118738e-05,0.811585529327,0.00154647067347,0.739034214095,-2.14094660556e-07,0.11257523459,-8.32345902817e-05,0.811341655866,0.00179034413449
32,0.2,4.5,8,0.737835,0.102692,0.813846,0.737834704726,2.95273654749e-07,0.102747568899,-5.55688988868e-05,0.814041745911,-0.000195745910947,0.737834561537,4.38463298558e-07,0.102734315608,-4.23156079294e-05,0.814102574681,-0.000256574680905
33,0.3,3,8,0.736857,0.193035,0.835427,0.736856888219,1.11781075729e-07,0.193051785012,-1.67850120593e-05,0.835448548276,-2.15482764384e-05,0.736856904642,9.53583337848e-08,0.193048865421,-1.38654212738e-05,0.83545516001,-2.81600097956e-05
34,0.3,3.5,8,0.739315,0.17028,0.829302,0.739315241206,-2.4120593678e-07,0.170286662181,-6.66218089046e-06,0.829356451822,-5.44518218925e-05,0.739315233276,-2.33276094441e-07,0.170361668399,-8.16683991658e-05,0.8294051763,-0.000103176300099
35,0.3,4,8,0.744137,0.156006,0.840673,0.744136833836,1.66164193183e-07,0.156023371135,-1.7371135436e-05,0.840824038939,-0.000151038938776,0.744136844793,1.55207037666e-07,0.15600570976,2.90239706852e-07,0.840859166668,-0.000186166667861
36,0.3,4.5,8,0.740272,0.14596,0.842466,0.740272266109,-2.6610853443e-07,0.145800161876,0.000159838124304,0.842429459627,3.6540372912e-05,0.740272444622,-4.44621511275e-07,0.145545263742,0.000414736257858,0.842347148687,0.00011885131336
37,0.1,3,6,0.745485,0.134606,0.835389,0.745484829227,1.70772726404e-07,0.13141430826,0.00319169174026,0.834256984097,0.0011320159026,0.745484696839,3.03160921922e-07,0.130405524806,0.00420047519398,0.833887628997,0.00150137100334
38,0.1,3.5,6,0.749192,0.108099,0.806989,0.749191902123,9.78766228066e-08,0.108491909182,-0.000392909181818,0.807119641604,-0.000130641603897,0.74919181064,1.89360203962e-07,0.108692790185,-0.000593790185479,0.807213803763,-0.000224803762655
39,0.1,4,6,0.756141,0.094116,0.81062,0.756141015019,-1.50194813253e-08,0.0942511451039,-0.000135145103896,0.81074098411,-0.000120984110391,0.756141100941,-1.00940647174e-07,0.0942634496401,-0.000147449640113,0.810673055835,-5.30558346317e-05
40,0.1,4.5,6,0.755283,0.084207,0.817709,0.755282767916,2.32084414686e-07,0.084230266026,-2.32660259742e-05,0.817699161617,9.8383831153e-06,0.755282757775,2.42225339786e-07,0.0842284750084,-2.14750083699e-05,0.817694001206,1.49987944438e-05
41,0.15,3,6,0.73867,0.134509,0.823504,0.738669805921,1.94078849436e-07,0.134940671035,-0.00043167103525,0.823632422424,-0.000128422423934,0.738669821128,1.78872495926e-07,0.135014463492,-0.000505463491933,0.823650973655,-0.000146973655424
42,0.15,3.5,6,0.741892,0.112168,0.799415,0.741891756532,2.43468460059e-07,0.112244907386,-7.69073858998e-05,0.799426354788,-1.13547875701e-05,0.741891773731,2.26269093795e-07,0.112302410017,-0.000134410017373,0.799438087474,-2.30874741891e-05
43,0.15,4,6,0.74775,0.098177,0.802271,0.747749981428,1.85723559865e-08,0.098171587308,5.41269202223e-06,0.802357409294,-8.64092940639e-05,0.747750031967,-3.1966671421e-08,0.098176515561,4.84438992476e-07,0.802378358377,-0.000107358376652
44,0.15,4.5,6,0.745195,0.088283,0.804999,0.745195080609,-8.06094623274e-08,0.0882589608015,2.40391985157e-05,0.805003735943,-4.73594341477e-06,0.745195144762,-1.44762108301e-07,0.0881824535664,0.000100546433628,0.804962998354,3.60016461194e-05
45,0.2,3,6,0.731965,0.139836,0.807956,0.731964895342,1.04657699174e-07,0.140021268356,-0.000185268356215,0.808073566205,-0.00011756620501,0.731964830013,1.69986857257e-07,0.140132668021,-0.000296668020775,0.80813777699,-0.000181776989758
46,0.2,3.5,6,0.735167,0.117423,0.788387,0.735166981849,1.81512060937e-08,0.117433583772,-1.05837717996e-05,0.788466069789,-7.90697894252e-05,0.735167058002,-5.80022874175e-08,0.11744786921,-2.48692103788e-05,0.788396509986,-9.50998604599e-06
47,0.2,4,6,0.7404,0.103384,0.792178,0.740399576927,4.23073283851e-07,0.10340915133,-2.51513302412e-05,0.79237413266,-0.000196132659555,0.740399504509,4.95490775076e-07,0.103404364797,-2.03647965193e-05,0.792423225209,-0.000245225209051
