beta,eta,N,R,P,U,acceptability
0.244,3.12,4,0.731782028653,0.127582082005,0.78034374028,0
0.226,3.13,4,0.732095175214,0.124454888504,0.781046574221,0
0.227,3.13,4,0.732060191495,0.124574140202,0.780921970241,0
0.228,3.13,4,0.732027881177,0.124696342216,0.780803950518,0
0.229,3.13,4,0.731998281097,0.124821531977,0.780692620091,0
0.23,3.13,4,0.731971428092,0.124949746921,0.780588083999,0
0.231,3.13,4,0.731947359,0.12508102448,0.780490447281,0
0.232,3.13,4,0.731926110657,0.125215402086,0.780399814977,0
0.233,3.13,4,0.731907719901,0.125352917174,0.780316292125,0
0.234,3.13,4,0.73189222357,0.125493607177,0.780239983765,0
0.235,3.13,4,0.7318796585,0.125637509527,0.780170994936,0
0.236,3.13,4,0.731870061528,0.125784661659,0.780109430678,0
0.237,3.13,4,0.731863469492,0.125935101004,0.780055396029,0
0.238,3.13,4,0.731859919228,0.126088864997,0.780008996029,0
0.239,3.13,4,0.731859447575,0.126245991071,0.779970335716,0
0.24,3.13,4,0.731862091369,0.126406516658,0.779939520131,0
0.241,3.13,4,0.731867887448,0.126570479192,0.779916654312,0
0.242,3.13,4,0.731876872648,0.126737916106,0.779901843298,0
0.243,3.13,4,0.731889083807,0.126908864834,0.779895192129,0
0.226,3.14,4,0.732210323155,0.12396071357,0.780559831851,0
0.227,3.14,4,0.732175898524,0.124079982113,0.780438200125,0
0.228,3.14,4,0.732144151016,0.124202200023,0.780323165994,0
0.229,3.14,4,0.732115117468,0.124327404733,0.780214834497,0
0.23,3.14,4,0.732088834717,0.124455633676,0.780113310673,0
0.231,3.14,4,0.732065339601,0.124586924286,0.780018699562,0
0.232,3.14,4,0.732044668957,0.124721313995,0.779931106203,0
0.233,3.14,4,0.732026859622,0.124858840237,0.779850635635,0
0.234,3.14,4,0.732011948433,0.124999540446,0.779777392898,0
0.235,3.14,4,0.731999972227,0.125143452054,0.77971148303,0
0.236,3.14,4,0.731990967841,0.125290612494,0.77965301107,0
0.237,3.14,4,0.731984972114,0.1254410592,0.779602082058,0
0.238,3.14,4,0.731982021881,0.125594829604,0.779558801034,0
0.239,3.14,4,0.731982153981,0.125751961141,0.779523273035,0
0.24,3.14,4,0.73198540525,0.125912491244,0.779495603102,0
0.241,3.14,4,0.731991812525,0.126076457344,0.779475896274,0
0.242,3.14,4,0.732001412645,0.126243896877,0.779464257589,0
0.243,3.14,4,0.732014242445,0.126414847274,0.779460792088,0
0.226,3.15,4,0.732328721822,0.123471213824,0.780089125012,0
0.227,3.15,4,0.732294851433,0.123590498739,0.779970436567,0
0.228,3.15,4,0.732263661889,0.123712732071,0.779858359055,0
0.229,3.15,4,0.732235190027,0.123837951256,0.779752997516,0
0.23,3.15,4,0.732209472685,0.123966193725,0.779654456989,0
0.231,3.15,4,0.732186546699,0.124097496912,0.779562842513,0
0.232,3.15,4,0.732166448907,0.124231898251,0.779478259126,0
0.233,3.15,4,0.732149216145,0.124369435174,0.77940081187,0
0.234,3.15,4,0.732134885253,0.124510145114,0.779330605782,0
0.235,3.15,4,0.732123493065,0.124654065506,0.779267745902,0
0.236,3.15,4,0.73211507642,0.124801233781,0.779212337268,0
0.237,3.15,4,0.732109672155,0.124951687374,0.779164484922,0
0.238,3.15,4,0.732107317107,0.125105463718,0.7791242939,0
0.239,3.15,4,0.732108048113,0.125262600244,0.779091869243,0
0.24,3.15,4,0.732111902011,0.125423134388,0.77906731599,0
0.241,3.15,4,0.732118915637,0.125587103582,0.77905073918,0
0.242,3.15,4,0.732129125829,0.125754545259,0.779042243852,0
0.243,3.15,4,0.732142569424,0.125925496853,0.779041935046,0
0.225,3.16,4,0.732486251544,0.122869962797,0.779756527699,0
0.226,3.16,4,0.732450282821,0.122986353572,0.77963423433,0
0.227,3.16,4,0.732416961828,0.123105654385,0.779518460193,0
0.228,3.16,4,0.732386325401,0.123227902667,0.779409310328,0
0.229,3.16,4,0.732358410379,0.123353135852,0.779306889775,0
0.23,3.16,4,0.732333253598,0.123481391374,0.779211303571,0
0.231,3.16,4,0.732310891896,0.123612706665,0.779122656757,0
0.232,3.16,4,0.73229136211,0.123747119159,0.779041054371,0
0.233,3.16,4,0.732274701077,0.123884666289,0.778966601453,0
0.234,3.16,4,0.732260945635,0.124025385489,0.778899403043,0
0.235,3.16,4,0.73225013262,0.124169314191,0.778839564178,0
0.236,3.16,4,0.732242298869,0.124316489828,0.778787189899,0
0.237,3.16,4,0.73223748122,0.124466949834,0.778742385244,0
0.238,3.16,4,0.732235716511,0.124620731642,0.778705255253,0
0.239,3.16,4,0.732237041578,0.124777872686,0.778675904965,0
0.24,3.16,4,0.732241493258,0.124938410397,0.778654439419,0
0.241,3.16,4,0.732249108389,0.125102382211,0.778640963655,0
0.242,3.16,4,0.732259923807,0.125269825559,0.778635582711,0
0.225,3.17,4,0.732610345651,0.122389689972,0.779314361801,0
0.226,3.17,4,0.732574917756,0.122506097121,0.779194940429,0
0.227,3.17,4,0.732542141312,0.122625413357,0.779082051629,0
0.228,3.17,4,0.732512053157,0.122747676115,0.778975800438,0
0.229,3.17,4,0.732484690129,0.122872922828,0.778876291897,0
0.23,3.17,4,0.732460089064,0.123001190928,0.778783631045,0
0.231,3.17,4,0.7324382868,0.12313251785,0.77869792292,0
0.232,3.17,4,0.732419320173,0.123266941027,0.778619272563,0
0.233,3.17,4,0.732403226022,0.12340449789,0.778547785011,0
0.234,3.17,4,0.732390041184,0.123545225875,0.778483565305,0
0.235,3.17,4,0.732379802495,0.123689162413,0.778426718483,0
0.236,3.17,4,0.732372546792,0.123836344939,0.778377349585,0
0.237,3.17,4,0.732368310914,0.123986810885,0.778335563651,0
0.238,3.17,4,0.732367131697,0.124140597685,0.778301465718,0
0.239,3.17,4,0.732369045978,0.124297742771,0.778275160826,0
0.24,3.17,4,0.732374090595,0.124458283577,0.778256754016,4.45000145847e-05
0.241,3.17,4,0.732382302384,0.124622257537,0.778246350325,0
0.242,3.17,4,0.732393718183,0.124789702082,0.778244054792,0
0.224,3.18,4,0.732774940396,0.121800433387,0.779010621499,0
0.225,3.18,4,0.732737430145,0.121913985727,0.778887602282,0
0.226,3.18,4,0.732702538231,0.122030408775,0.778771023936,0
0.227,3.18,4,0.73267030149,0.122149739962,0.778660991499,0
0.228,3.18,4,0.732640756761,0.122272016722,0.778557610011,0
0.229,3.18,4,0.73261394088,0.122397276489,0.77846098451,0
0.23,3.18,4,0.732589890685,0.122525556695,0.778371220036,0
0.231,3.18,4,0.732568643013,0.122656894774,0.778288421629,0
0.232,3.18,4,0.732550234701,0.122791328159,0.778212694326,0
0.233,3.18,4,0.732534702585,0.122928894283,0.778144143168,0
0.234,3.18,4,0.732522083505,0.123069630579,0.778082873194,0
0.235,3.18,4,0.732512414296,0.123213574481,0.778028989443,0
0.236,3.18,4,0.732505731795,0.123360763421,0.777982596954,0
0.237,3.18,4,0.732502072841,0.123511234833,0.777943800767,0
0.238,3.18,4,0.73250147427,0.123665026151,0.77791270592,2.03847351548e-05
0.239,3.18,4,0.732503972919,0.123822174806,0.777889417452,0.000806001048878
0.24,3.18,4,0.732509605626,0.123982718233,0.777874040404,1.8815411616e-06
0.241,3.18,4,0.732518409228,0.124146693865,0.777866679814,0
0.224,3.19,4,0.732904399469,0.121329245653,0.77859624827,0
0.225,3.19,4,0.732867416631,0.121442814368,0.778476029768,0
0.226,3.19,4,0.732833055852,0.121559252841,0.778362265475,0
0.227,3.19,4,0.732801353969,0.121678598505,0.778255060429,0
0.228,3.19,4,0.732772347819,0.121800888795,0.77815451967,0
0.229,3.19,4,0.732746074239,0.121926161142,0.778060748237,0
0.23,3.19,4,0.732722570068,0.12205445298,0.777973851169,0
0.231,3.19,4,0.732701872141,0.122185801742,0.777893933506,0
0.232,3.19,4,0.732684017296,0.122320244862,0.777821100287,0
0.233,3.19,4,0.732669042371,0.122457819772,0.777755456551,0
0.234,3.19,4,0.732656984202,0.122598563907,0.777697107336,0
0.235,3.19,4,0.732647879627,0.122742514698,0.777646157683,0
0.236,3.19,4,0.732641765483,0.12288970958,0.777602712631,0
0.237,3.19,4,0.732638678606,0.123040185985,0.777566877218,6.07313174223e-05
0.238,3.19,4,0.732638655835,0.123193981346,0.777538756484,0.000845921094283
0.239,3.19,4,0.732641734007,0.123351133098,0.777518455468,0.000872374612592
0.24,3.19,4,0.732647949958,0.123511678672,0.777506079209,0
0.241,3.19,4,0.732657340526,0.123675655503,0.777501732747,0
0.224,3.2,4,0.733036676984,0.120862555584,0.778196871645,0
0.225,3.2,4,0.733000216713,0.1209761402,0.778079424884,0
0.226,3.2,4,0.732966382223,0.121092593625,0.777968445671,0
0.227,3.2,4,0.732935210351,0.121211953293,0.777864039044,0
0.228,3.2,4,0.732906737934,0.121334256638,0.777766310042,0
0.229,3.2,4,0.732881001811,0.121459541092,0.777675363704,0
0.23,3.2,4,0.732858038816,0.121587844088,0.77759130507,0
0.231,3.2,4,0.732837885789,0.12171920306,0.777514239179,0
0.232,3.2,4,0.732820579566,0.121853655442,0.77744427107,0
0.233,3.2,4,0.732806156984,0.121991238665,0.777381505783,0
0.234,3.2,4,0.732794654881,0.122131990164,0.777326048355,0
0.235,3.2,4,0.732786110093,0.122275947372,0.777278003828,0
0.236,3.2,4,0.732780559459,0.122423147721,0.777237477239,9.3371037e-05
0.237,3.2,4,0.732778039815,0.122573628645,0.777204573628,0.00081193320835
0.238,3.2,4,0.732778587998,0.122727427578,0.777179398035,0.00102997318607
0.239,3.2,4,0.732782240845,0.122884581952,0.777162055498,0.000638587868516
0.24,3.2,4,0.732789035194,0.1230451292,0.777152651057,0
0.241,3.2,4,0.732799007882,0.123209106756,0.777151289751,0
0.223,3.21,4,0.733210219762,0.120289557872,0.777933352084,0
0.224,3.21,4,0.733171684546,0.120400327487,0.777812272247,0
0.225,3.21,4,0.733135741996,0.120513927529,0.777697568256,0
